probe_type,electrode,shank,shank_col,shank_row,x_coord,y_coord
neuropixels 1.0 - 3A,89,0,1,44,48.0,880.0
neuropixels 1.0 - 3A,90,0,0,45,0.0,900.0
neuropixels 1.0 - 3A,91,0,1,45,32.0,900.0
neuropixels 1.0 - 3A,92,0,0,46,16.0,920.0
neuropixels 1.0 - 3A,93,0,1,46,48.0,920.0
neuropixels 1.0 - 3A,94,0,0,47,0.0,940.0
neuropixels 1.0 - 3A,95,0,1,47,32.0,940.0
neuropixels 1.0 - 3A,96,0,0,48,16.0,960.0
neuropixels 1.0 - 3A,97,0,1,48,48.0,960.0
neuropixels 1.0 - 3A,98,0,0,49,0.0,980.0
neuropixels 1.0 - 3A,99,0,1,49,32.0,980.0
neuropixels 1.0 - 3A,100,0,0,50,16.0,1000.0
neuropixels 1.0 - 3A,101,0,1,50,48.0,1000.0
neuropixels 1.0 - 3A,102,0,0,51,0.0,1020.0
neuropixels 1.0 - 3A,103,0,1,51,32.0,1020.0
neuropixels 1.0 - 3A,104,0,0,52,16.0,1040.0
neuropixels 1.0 - 3A,105,0,1,52,48.0,1040.0
neuropixels 1.0 - 3A,106,0,0,53,0.0,1060.0
neuropixels 1.0 - 3A,107,0,1,53,32.0,1060.0
neuropixels 1.0 - 3A,108,0,0,54,16.0,1080.0
neuropixels 1.0 - 3A,109,0,1,54,48.0,1080.0
neuropixels 1.0 - 3A,110,0,0,55,0.0,1100.0
neuropixels 1.0 - 3A,111,0,1,55,32.0,1100.0
neuropixels 1.0 - 3A,112,0,0,56,16.0,1120.0
neuropixels 1.0 - 3A,113,0,1,56,48.0,1120.0
neuropixels 1.0 - 3A,114,0,0,57,0.0,1140.0
neuropixels 1.0 - 3A,115,0,1,57,32.0,1140.0
neuropixels 1.0 - 3A,116,0,0,58,16.0,1160.0
neuropixels 1.0 - 3A,117,0,1,58,48.0,1160.0
neuropixels 1.0 - 3A,118,0,0,59,0.0,1180.0
neuropixels 1.0 - 3A,119,0,1,59,32.0,1180.0
neuropixels 1.0 - 3A,120,0,0,60,16.0,1200.0
neuropixels 1.0 - 3A,121,0,1,60,48.0,1200.0
neuropixels 1.0 - 3A,122,0,0,61,0.0,1220.0
neuropixels 1.0 - 3A,123,0,1,61,32.0,1220.0
neuropixels 1.0 - 3A,124,0,0,62,16.0,1240.0
neuropixels 1.0 - 3A,125,0,1,62,48.0,1240.0
neuropixels 1.0 - 3A,126,0,0,63,0.0,1260.0
neuropixels 1.0 - 3A,127,0,1,63,32.0,1260.0
neuropixels 1.0 - 3A,128,0,0,64,16.0,1280.0
neuropixels 1.0 - 3A,129,0,1,64,48.0,1280.0
neuropixels 1.0 - 3A,130,0,0,65,0.0,1300.0
neuropixels 1.0 - 3A,131,0,1,65,32.0,1300.0
neuropixels 1.0 - 3A,132,0,0,66,16.0,1320.0
neuropixels 1.0 - 3A,133,0,1,66,48.0,1320.0
neuropixels 1.0 - 3A,134,0,0,67,0.0,1340.0
neuropixels 1.0 - 3A,135,0,1,67,32.0,1340.0
neuropixels 1.0 - 3A,136,0,0,68,16.0,1360.0
neuropixels 1.0 - 3A,137,0,1,68,48.0,1360.0
neuropixels 1.0 - 3A,138,0,0,69,0.0,1380.0
neuropixels 1.0 - 3A,139,0,1,69,32.0,1380.0
neuropixels 1.0 - 3A,140,0,0,70,16.0,1400.0
neuropixels 1.0 - 3A,141,0,1,70,48.0,1400.0
neuropixels 1.0 - 3A,142,0,0,71,0.0,1420.0
neuropixels 1.0 - 3A,143,0,1,71,32.0,1420.0
neuropixels 1.0 - 3A,144,0,0,72,16.0,1440.0
neuropixels 1.0 - 3A,145,0,1,72,48.0,1440.0
neuropixels 1.0 - 3A,146,0,0,73,0.0,1460.0
neuropixels 1.0 - 3A,147,0,1,73,32.0,1460.0
neuropixels 1.0 - 3A,148,0,0,74,16.0,1480.0
neuropixels 1.0 - 3A,149,0,1,74,48.0,1480.0
neuropixels 1.0 - 3A,150,0,0,75,0.0,1500.0
neuropixels 1.0 - 3A,151,0,1,75,32.0,1500.0
neuropixels 1.0 - 3A,152,0,0,76,16.0,1520.0
neuropixels 1.0 - 3A,153,0,1,76,48.0,1520.0
neuropixels 1.0 - 3A,154,0,0,77,0.0,1540.0
neuropixels 1.0 - 3A,155,0,1,77,32.0,1540.0
neuropixels 1.0 - 3A,156,0,0,78,16.0,1560.0
neuropixels 1.0 - 3A,157,0,1,78,48.0,1560.0
neuropixels 1.0 - 3A,158,0,0,79,0.0,1580.0
neuropixels 1.0 - 3A,159,0,1,79,32.0,1580.0
neuropixels 1.0 - 3A,160,0,0,80,16.0,1600.0
neuropixels 1.0 - 3A,161,0,1,80,48.0,1600.0
neuropixels 1.0 - 3A,162,0,0,81,0.0,1620.0
neuropixels 1.0 - 3A,163,0,1,81,32.0,1620.0
neuropixels 1.0 - 3A,164,0,0,82,16.0,1640.0
neuropixels 1.0 - 3A,165,0,1,82,48.0,1640.0
neuropixels 1.0 - 3A,166,0,0,83,0.0,1660.0
neuropixels 1.0 - 3A,167,0,1,83,32.0,1660.0
neuropixels 1.0 - 3A,168,0,0,84,16.0,1680.0
neuropixels 1.0 - 3A,169,0,1,84,48.0,1680.0
neuropixels 1.0 - 3A,170,0,0,85,0.0,1700.0
neuropixels 1.0 - 3A,171,0,1,85,32.0,1700.0
neuropixels 1.0 - 3A,172,0,0,86,16.0,1720.0
neuropixels 1.0 - 3A,173,0,1,86,48.0,1720.0
neuropixels 1.0 - 3A,174,0,0,87,0.0,1740.0
neuropixels 1.0 - 3A,175,0,1,87,32.0,1740.0
neuropixels 1.0 - 3A,176,0,0,88,16.0,1760.0
neuropixels 1.0 - 3A,177,0,1,88,48.0,1760.0
neuropixels 1.0 - 3A,178,0,0,89,0.0,1780.0
neuropixels 1.0 - 3A,179,0,1,89,32.0,1780.0
neuropixels 1.0 - 3A,180,0,0,90,16.0,1800.0
neuropixels 1.0 - 3A,181,0,1,90,48.0,1800.0
neuropixels 1.0 - 3A,182,0,0,91,0.0,1820.0
neuropixels 1.0 - 3A,183,0,1,91,32.0,1820.0
neuropixels 1.0 - 3A,184,0,0,92,16.0,1840.0
neuropixels 1.0 - 3A,185,0,1,92,48.0,1840.0
neuropixels 1.0 - 3A,186,0,0,93,0.0,1860.0
neuropixels 1.0 - 3A,187,0,1,93,32.0,1860.0
neuropixels 1.0 - 3A,188,0,0,94,16.0,1880.0
neuropixels 1.0 - 3A,189,0,1,94,48.0,1880.0
neuropixels 1.0 - 3A,190,0,0,95,0.0,1900.0
neuropixels 1.0 - 3A,191,0,1,95,32.0,1900.0
neuropixels 1.0 - 3A,192,0,0,96,16.0,1920.0
neuropixels 1.0 - 3A,193,0,1,96,48.0,1920.0
neuropixels 1.0 - 3A,194,0,0,97,0.0,1940.0
neuropixels 1.0 - 3A,195,0,1,97,32.0,1940.0
neuropixels 1.0 - 3A,196,0,0,98,16.0,1960.0
neuropixels 1.0 - 3A,197,0,1,98,48.0,1960.0
neuropixels 1.0 - 3A,198,0,0,99,0.0,1980.0
neuropixels 1.0 - 3A,199,0,1,99,32.0,1980.0
neuropixels 1.0 - 3A,200,0,0,100,16.0,2000.0
neuropixels 1.0 - 3A,201,0,1,100,48.0,2000.0
neuropixels 1.0 - 3A,202,0,0,101,0.0,2020.0
neuropixels 1.0 - 3A,203,0,1,101,32.0,2020.0
neuropixels 1.0 - 3A,204,0,0,102,16.0,2040.0
neuropixels 1.0 - 3A,205,0,1,102,48.0,2040.0
neuropixels 1.0 - 3A,206,0,0,103,0.0,2060.0
neuropixels 1.0 - 3A,207,0,1,103,32.0,2060.0
neuropixels 1.0 - 3A,208,0,0,104,16.0,2080.0
neuropixels 1.0 - 3A,209,0,1,104,48.0,2080.0
neuropixels 1.0 - 3A,210,0,0,105,0.0,2100.0
neuropixels 1.0 - 3A,211,0,1,105,32.0,2100.0
neuropixels 1.0 - 3A,212,0,0,106,16.0,2120.0
neuropixels 1.0 - 3A,213,0,1,106,48.0,2120.0
neuropixels 1.0 - 3A,214,0,0,107,0.0,2140.0
neuropixels 1.0 - 3A,215,0,1,107,32.0,2140.0
neuropixels 1.0 - 3A,216,0,0,108,16.0,2160.0
neuropixels 1.0 - 3A,217,0,1,108,48.0,2160.0
neuropixels 1.0 - 3A,218,0,0,109,0.0,2180.0
neuropixels 1.0 - 3A,219,0,1,109,32.0,2180.0
neuropixels 1.0 - 3A,220,0,0,110,16.0,2200.0
neuropixels 1.0 - 3A,221,0,1,110,48.0,2200.0
neuropixels 1.0 - 3A,222,0,0,111,0.0,2220.0
neuropixels 1.0 - 3A,223,0,1,111,32.0,2220.0
neuropixels 1.0 - 3A,224,0,0,112,16.0,2240.0
neuropixels 1.0 - 3A,225,0,1,112,48.0,2240.0
neuropixels 1.0 - 3A,226,0,0,113,0.0,2260.0
neuropixels 1.0 - 3A,227,0,1,113,32.0,2260.0
neuropixels 1.0 - 3A,228,0,0,114,16.0,2280.0
neuropixels 1.0 - 3A,229,0,1,114,48.0,2280.0
neuropixels 1.0 - 3A,230,0,0,115,0.0,2300.0
neuropixels 1.0 - 3A,231,0,1,115,32.0,2300.0
neuropixels 1.0 - 3A,232,0,0,116,16.0,2320.0
neuropixels 1.0 - 3A,233,0,1,116,48.0,2320.0
neuropixels 1.0 - 3A,234,0,0,117,0.0,2340.0
neuropixels 1.0 - 3A,235,0,1,117,32.0,2340.0
neuropixels 1.0 - 3A,236,0,0,118,16.0,2360.0
neuropixels 1.0 - 3A,237,0,1,118,48.0,2360.0
neuropixels 1.0 - 3A,238,0,0,119,0.0,2380.0
neuropixels 1.0 - 3A,239,0,1,119,32.0,2380.0
neuropixels 1.0 - 3A,240,0,0,120,16.0,2400.0
neuropixels 1.0 - 3A,241,0,1,120,48.0,2400.0
neuropixels 1.0 - 3A,242,0,0,121,0.0,2420.0
neuropixels 1.0 - 3A,243,0,1,121,32.0,2420.0
neuropixels 1.0 - 3A,244,0,0,122,16.0,2440.0
neuropixels 1.0 - 3A,245,0,1,122,48.0,2440.0
neuropixels 1.0 - 3A,246,0,0,123,0.0,2460.0
neuropixels 1.0 - 3A,247,0,1,123,32.0,2460.0
neuropixels 1.0 - 3A,248,0,0,124,16.0,2480.0
neuropixels 1.0 - 3A,249,0,1,124,48.0,2480.0
neuropixels 1.0 - 3A,250,0,0,125,0.0,2500.0
neuropixels 1.0 - 3A,251,0,1,125,32.0,2500.0
neuropixels 1.0 - 3A,252,0,0,126,16.0,2520.0
neuropixels 1.0 - 3A,253,0,1,126,48.0,2520.0
neuropixels 1.0 - 3A,254,0,0,127,0.0,2540.0
neuropixels 1.0 - 3A,255,0,1,127,32.0,2540.0
neuropixels 1.0 - 3A,256,0,0,128,16.0,2560.0
neuropixels 1.0 - 3A,257,0,1,128,48.0,2560.0
neuropixels 1.0 - 3A,258,0,0,129,0.0,2580.0
neuropixels 1.0 - 3A,259,0,1,129,32.0,2580.0
neuropixels 1.0 - 3A,260,0,0,130,16.0,2600.0
neuropixels 1.0 - 3A,261,0,1,130,48.0,2600.0
neuropixels 1.0 - 3A,262,0,0,131,0.0,2620.0
neuropixels 1.0 - 3A,263,0,1,131,32.0,2620.0
neuropixels 1.0 - 3A,264,0,0,132,16.0,2640.0
neuropixels 1.0 - 3A,265,0,1,132,48.0,2640.0
neuropixels 1.0 - 3A,266,0,0,133,0.0,2660.0
neuropixels 1.0 - 3A,267,0,1,133,32.0,2660.0
neuropixels 1.0 - 3A,268,0,0,134,16.0,2680.0
neuropixels 1.0 - 3A,269,0,1,134,48.0,2680.0
neuropixels 1.0 - 3A,270,0,0,135,0.0,2700.0
neuropixels 1.0 - 3A,271,0,1,135,32.0,2700.0
neuropixels 1.0 - 3A,272,0,0,136,16.0,2720.0
neuropixels 1.0 - 3A,273,0,1,136,48.0,2720.0
neuropixels 1.0 - 3A,274,0,0,137,0.0,2740.0
neuropixels 1.0 - 3A,275,0,1,137,32.0,2740.0
neuropixels 1.0 - 3A,276,0,0,138,16.0,2760.0
neuropixels 1.0 - 3A,277,0,1,138,48.0,2760.0
neuropixels 1.0 - 3A,278,0,0,139,0.0,2780.0
neuropixels 1.0 - 3A,279,0,1,139,32.0,2780.0
neuropixels 1.0 - 3A,280,0,0,140,16.0,2800.0
neuropixels 1.0 - 3A,281,0,1,140,48.0,2800.0
neuropixels 1.0 - 3A,282,0,0,141,0.0,2820.0
neuropixels 1.0 - 3A,283,0,1,141,32.0,2820.0
neuropixels 1.0 - 3A,284,0,0,142,16.0,2840.0
neuropixels 1.0 - 3A,285,0,1,142,48.0,2840.0
neuropixels 1.0 - 3A,286,0,0,143,0.0,2860.0
neuropixels 1.0 - 3A,287,0,1,143,32.0,2860.0
neuropixels 1.0 - 3A,288,0,0,144,16.0,2880.0
neuropixels 1.0 - 3A,289,0,1,144,48.0,2880.0
neuropixels 1.0 - 3A,290,0,0,145,0.0,2900.0
neuropixels 1.0 - 3A,291,0,1,145,32.0,2900.0
neuropixels 1.0 - 3A,292,0,0,146,16.0,2920.0
neuropixels 1.0 - 3A,293,0,1,146,48.0,2920.0
neuropixels 1.0 - 3A,294,0,0,147,0.0,2940.0
neuropixels 1.0 - 3A,295,0,1,147,32.0,2940.0
neuropixels 1.0 - 3A,296,0,0,148,16.0,2960.0
neuropixels 1.0 - 3A,297,0,1,148,48.0,2960.0
neuropixels 1.0 - 3A,298,0,0,149,0.0,2980.0
neuropixels 1.0 - 3A,299,0,1,149,32.0,2980.0
neuropixels 1.0 - 3A,300,0,0,150,16.0,3000.0
neuropixels 1.0 - 3A,301,0,1,150,48.0,3000.0
neuropixels 1.0 - 3A,302,0,0,151,0.0,3020.0
neuropixels 1.0 - 3A,303,0,1,151,32.0,3020.0
neuropixels 1.0 - 3A,304,0,0,152,16.0,3040.0
neuropixels 1.0 - 3A,305,0,1,152,48.0,3040.0
neuropixels 1.0 - 3A,306,0,0,153,0.0,3060.0
neuropixels 1.0 - 3A,307,0,1,153,32.0,3060.0
neuropixels 1.0 - 3A,308,0,0,154,16.0,3080.0
neuropixels 1.0 - 3A,309,0,1,154,48.0,3080.0
neuropixels 1.0 - 3A,310,0,0,155,0.0,3100.0
neuropixels 1.0 - 3A,311,0,1,155,32.0,3100.0
neuropixels 1.0 - 3A,312,0,0,156,16.0,3120.0
neuropixels 1.0 - 3A,313,0,1,156,48.0,3120.0
neuropixels 1.0 - 3A,314,0,0,157,0.0,3140.0
neuropixels 1.0 - 3A,315,0,1,157,32.0,3140.0
neuropixels 1.0 - 3A,316,0,0,158,16.0,3160.0
neuropixels 1.0 - 3A,317,0,1,158,48.0,3160.0
neuropixels 1.0 - 3A,318,0,0,159,0.0,3180.0
neuropixels 1.0 - 3A,319,0,1,159,32.0,3180.0
neuropixels 1.0 - 3A,320,0,0,160,16.0,3200.0
neuropixels 1.0 - 3A,321,0,1,160,48.0,3200.0
neuropixels 1.0 - 3A,322,0,0,161,0.0,3220.0
neuropixels 1.0 - 3A,323,0,1,161,32.0,3220.0
neuropixels 1.0 - 3A,324,0,0,162,16.0,3240.0
neuropixels 1.0 - 3A,325,0,1,162,48.0,3240.0
neuropixels 1.0 - 3A,326,0,0,163,0.0,3260.0
neuropixels 1.0 - 3A,327,0,1,163,32.0,3260.0
neuropixels 1.0 - 3A,328,0,0,164,16.0,3280.0
neuropixels 1.0 - 3A,329,0,1,164,48.0,3280.0
neuropixels 1.0 - 3A,330,0,0,165,0.0,3300.0
neuropixels 1.0 - 3A,331,0,1,165,32.0,3300.0
neuropixels 1.0 - 3A,332,0,0,166,16.0,3320.0
neuropixels 1.0 - 3A,333,0,1,166,48.0,3320.0
neuropixels 1.0 - 3A,334,0,0,167,0.0,3340.0
neuropixels 1.0 - 3A,335,0,1,167,32.0,3340.0
neuropixels 1.0 - 3A,336,0,0,168,16.0,3360.0
neuropixels 1.0 - 3A,337,0,1,168,48.0,3360.0
neuropixels 1.0 - 3A,338,0,0,169,0.0,3380.0
neuropixels 1.0 - 3A,339,0,1,169,32.0,3380.0
neuropixels 1.0 - 3A,340,0,0,170,16.0,3400.0
neuropixels 1.0 - 3A,341,0,1,170,48.0,3400.0
neuropixels 1.0 - 3A,342,0,0,171,0.0,3420.0
neuropixels 1.0 - 3A,343,0,1,171,32.0,3420.0
neuropixels 1.0 - 3A,344,0,0,172,16.0,3440.0
neuropixels 1.0 - 3A,345,0,1,172,48.0,3440.0
neuropixels 1.0 - 3A,346,0,0,173,0.0,3460.0
neuropixels 1.0 - 3A,347,0,1,173,32.0,3460.0
neuropixels 1.0 - 3A,348,0,0,174,16.0,3480.0
neuropixels 1.0 - 3A,349,0,1,174,48.0,3480.0
neuropixels 1.0 - 3A,350,0,0,175,0.0,3500.0
neuropixels 1.0 - 3A,351,0,1,175,32.0,3500.0
neuropixels 1.0 - 3A,352,0,0,176,16.0,3520.0
neuropixels 1.0 - 3A,353,0,1,176,48.0,3520.0
neuropixels 1.0 - 3A,354,0,0,177,0.0,3540.0
neuropixels 1.0 - 3A,355,0,1,177,32.0,3540.0
neuropixels 1.0 - 3A,356,0,0,178,16.0,3560.0
neuropixels 1.0 - 3A,357,0,1,178,48.0,3560.0
neuropixels 1.0 - 3A,358,0,0,179,0.0,3580.0
neuropixels 1.0 - 3A,359,0,1,179,32.0,3580.0
neuropixels 1.0 - 3A,360,0,0,180,16.0,3600.0
neuropixels 1.0 - 3A,361,0,1,180,48.0,3600.0
neuropixels 1.0 - 3A,362,0,0,181,0.0,3620.0
neuropixels 1.0 - 3A,363,0,1,181,32.0,3620.0
neuropixels 1.0 - 3A,364,0,0,182,16.0,3640.0
neuropixels 1.0 - 3A,365,0,1,182,48.0,3640.0
neuropixels 1.0 - 3A,366,0,0,183,0.0,3660.0
neuropixels 1.0 - 3A,367,0,1,183,32.0,3660.0
neuropixels 1.0 - 3A,368,0,0,184,16.0,3680.0
neuropixels 1.0 - 3A,369,0,1,184,48.0,3680.0
neuropixels 1.0 - 3A,370,0,0,185,0.0,3700.0
neuropixels 1.0 - 3A,371,0,1,185,32.0,3700.0
neuropixels 1.0 - 3A,372,0,0,186,16.0,3720.0
neuropixels 1.0 - 3A,373,0,1,186,48.0,3720.0
neuropixels 1.0 - 3A,374,0,0,187,0.0,3740.0
neuropixels 1.0 - 3A,375,0,1,187,32.0,3740.0
neuropixels 1.0 - 3A,376,0,0,188,16.0,3760.0
neuropixels 1.0 - 3A,377,0,1,188,48.0,3760.0
neuropixels 1.0 - 3A,378,0,0,189,0.0,3780.0
neuropixels 1.0 - 3A,379,0,1,189,32.0,3780.0
neuropixels 1.0 - 3A,380,0,0,190,16.0,3800.0
neuropixels 1.0 - 3A,381,0,1,190,48.0,3800.0
neuropixels 1.0 - 3A,382,0,0,191,0.0,3820.0
neuropixels 1.0 - 3A,383,0,1,191,32.0,3820.0
neuropixels 1.0 - 3A,384,0,0,192,16.0,3840.0
neuropixels 1.0 - 3A,385,0,1,192,48.0,3840.0
neuropixels 1.0 - 3A,386,0,0,193,0.0,3860.0
neuropixels 1.0 - 3A,387,0,1,193,32.0,3860.0
neuropixels 1.0 - 3A,388,0,0,194,16.0,3880.0
neuropixels 1.0 - 3A,389,0,1,194,48.0,3880.0
neuropixels 1.0 - 3A,390,0,0,195,0.0,3900.0
neuropixels 1.0 - 3A,391,0,1,195,32.0,3900.0
neuropixels 1.0 - 3A,392,0,0,196,16.0,3920.0
neuropixels 1.0 - 3A,393,0,1,196,48.0,3920.0
neuropixels 1.0 - 3A,394,0,0,197,0.0,3940.0
neuropixels 1.0 - 3A,395,0,1,197,32.0,3940.0
neuropixels 1.0 - 3A,396,0,0,198,16.0,3960.0
neuropixels 1.0 - 3A,397,0,1,198,48.0,3960.0
neuropixels 1.0 - 3A,398,0,0,199,0.0,3980.0
neuropixels 1.0 - 3A,399,0,1,199,32.0,3980.0
neuropixels 1.0 - 3A,400,0,0,200,16.0,4000.0
neuropixels 1.0 - 3A,401,0,1,200,48.0,4000.0
neuropixels 1.0 - 3A,402,0,0,201,0.0,4020.0
neuropixels 1.0 - 3A,403,0,1,201,32.0,4020.0
neuropixels 1.0 - 3A,404,0,0,202,16.0,4040.0
neuropixels 1.0 - 3A,405,0,1,202,48.0,4040.0
neuropixels 1.0 - 3A,406,0,0,203,0.0,4060.0
neuropixels 1.0 - 3A,407,0,1,203,32.0,4060.0
neuropixels 1.0 - 3A,408,0,0,204,16.0,4080.0
neuropixels 1.0 - 3A,409,0,1,204,48.0,4080.0
neuropixels 1.0 - 3A,410,0,0,205,0.0,4100.0
neuropixels 1.0 - 3A,411,0,1,205,32.0,4100.0
neuropixels 1.0 - 3A,412,0,0,206,16.0,4120.0
neuropixels 1.0 - 3A,413,0,1,206,48.0,4120.0
neuropixels 1.0 - 3A,414,0,0,207,0.0,4140.0
neuropixels 1.0 - 3A,415,0,1,207,32.0,4140.0
neuropixels 1.0 - 3A,416,0,0,208,16.0,4160.0
neuropixels 1.0 - 3A,417,0,1,208,48.0,4160.0
neuropixels 1.0 - 3A,418,0,0,209,0.0,4180.0
neuropixels 1.0 - 3A,419,0,1,209,32.0,4180.0
neuropixels 1.0 - 3A,420,0,0,210,16.0,4200.0
neuropixels 1.0 - 3A,421,0,1,210,48.0,4200.0
neuropixels 1.0 - 3A,422,0,0,211,0.0,4220.0
neuropixels 1.0 - 3A,423,0,1,211,32.0,4220.0
neuropixels 1.0 - 3A,424,0,0,212,16.0,4240.0
neuropixels 1.0 - 3A,425,0,1,212,48.0,4240.0
neuropixels 1.0 - 3A,426,0,0,213,0.0,4260.0
neuropixels 1.0 - 3A,427,0,1,213,32.0,4260.0
neuropixels 1.0 - 3A,428,0,0,214,16.0,4280.0
neuropixels 1.0 - 3A,429,0,1,214,48.0,4280.0
neuropixels 1.0 - 3A,430,0,0,215,0.0,4300.0
neuropixels 1.0 - 3A,431,0,1,215,32.0,4300.0
neuropixels 1.0 - 3A,432,0,0,216,16.0,4320.0
neuropixels 1.0 - 3A,433,0,1,216,48.0,4320.0
neuropixels 1.0 - 3A,434,0,0,217,0.0,4340.0
neuropixels 1.0 - 3A,435,0,1,217,32.0,4340.0
neuropixels 1.0 - 3A,436,0,0,218,16.0,4360.0
neuropixels 1.0 - 3A,437,0,1,218,48.0,4360.0
