subject,session_datetime,block_id,trial_id,trial_start_time,trial_stop_time,trial_type,attribute_name,attribute_value
subject6,2021-01-15 11:16:38,2,42,769.458,786.458,stim,lumen,0
subject6,2021-01-15 11:16:38,2,43,786.765,803.765,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,44,803.884,820.884,stim,lumen,0
subject6,2021-01-15 11:16:38,2,45,821.245,838.245,stim,lumen,0
subject6,2021-01-15 11:16:38,2,46,838.408,855.408,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,47,855.549,872.549,stim,lumen,0
subject6,2021-01-15 11:16:38,2,48,872.713,889.713,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,49,889.942,906.942,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,50,952.031,969.031,ctrl,lumen,0
subject6,2021-01-15 11:16:38,3,51,969.387,986.387,ctrl,lumen,529
subject6,2021-01-15 11:16:38,3,52,986.578,1003.578,ctrl,lumen,601
subject6,2021-01-15 11:16:38,3,53,1003.788,1020.788,stim,lumen,962
subject6,2021-01-15 11:16:38,3,54,1021.001,1038.001,ctrl,lumen,617
subject6,2021-01-15 11:16:38,3,55,1038.129,1055.129,stim,lumen,541
subject6,2021-01-15 11:16:38,3,56,1055.529,1072.529,ctrl,lumen,894
subject6,2021-01-15 11:16:38,3,57,1072.875,1089.875,ctrl,lumen,849
subject6,2021-01-15 11:16:38,3,58,1090.057,1107.057,ctrl,lumen,911
subject6,2021-01-15 11:16:38,3,59,1107.354,1124.354,ctrl,lumen,807
subject6,2021-01-15 11:16:38,3,60,1124.679,1141.679,ctrl,lumen,717
subject6,2021-01-15 11:16:38,3,61,1141.983,1158.983,ctrl,lumen,844
subject6,2021-01-15 11:16:38,3,62,1159.267,1176.267,ctrl,lumen,953
subject6,2021-01-15 11:16:38,3,63,1176.454,1193.454,ctrl,lumen,974
subject6,2021-01-15 11:16:38,3,64,1193.837,1210.837,stim,lumen,820
subject6,2021-01-15 11:16:38,3,65,1211.187,1228.187,ctrl,lumen,763
subject6,2021-01-15 11:16:38,3,66,1228.556,1245.556,ctrl,lumen,860
subject6,2021-01-15 11:16:38,3,67,1245.909,1262.909,ctrl,lumen,947
subject6,2021-01-15 11:16:38,3,68,1263.059,1280.059,stim,lumen,542
subject6,2021-01-15 11:16:38,3,69,1280.222,1297.222,ctrl,lumen,845
subject6,2021-01-15 11:16:38,3,70,1297.399,1314.399,stim,lumen,715
subject6,2021-01-15 11:16:38,3,71,1314.593,1331.593,stim,lumen,825
subject6,2021-01-15 11:16:38,3,72,1331.785,1348.785,ctrl,lumen,672
subject6,2021-01-15 11:16:38,3,73,1349.079,1366.079,ctrl,lumen,512
subject6,2021-01-15 11:16:38,3,74,1366.183,1383.183,stim,lumen,742
subject6,2021-01-15 11:16:38,3,75,1428.237,1445.237,ctrl,lumen,741
subject6,2021-01-15 11:16:38,4,76,1445.393,1462.393,stim,lumen,0
subject6,2021-01-15 11:16:38,4,77,1462.722,1479.722,stim,lumen,0
subject6,2021-01-15 11:16:38,4,78,1479.996,1496.996,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,79,1497.224,1514.224,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,80,1514.559,1531.559,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,81,1531.955,1548.955,stim,lumen,0
subject6,2021-01-15 11:16:38,4,82,1549.3,1566.3,stim,lumen,0
subject6,2021-01-15 11:16:38,4,83,1566.43,1583.43,stim,lumen,0
subject6,2021-01-15 11:16:38,4,84,1583.819,1600.819,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,85,1601.127,1618.127,stim,lumen,0
subject6,2021-01-15 11:16:38,4,86,1618.378,1635.378,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,87,1635.718,1652.718,stim,lumen,0
subject6,2021-01-15 11:16:38,4,88,1653.111,1670.111,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,89,1670.435,1687.435,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,90,1687.721,1704.721,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,91,1705.036,1722.036,stim,lumen,0
subject6,2021-01-15 11:16:38,4,92,1722.447,1739.447,stim,lumen,0
subject6,2021-01-15 11:16:38,4,93,1739.749,1756.749,stim,lumen,0
subject6,2021-01-15 11:16:38,4,94,1757.081,1774.081,ctrl,lumen,0
subject6,2021-01-15 11:16:38,4,95,1774.191,1791.191,stim,lumen,0
subject6,2021-01-15 11:16:38,4,96,1791.426,1808.426,stim,lumen,0
subject6,2021-01-15 11:16:38,4,97,1808.53,1825.53,stim,lumen,0
subject6,2021-01-15 11:16:38,4,98,1825.691,1842.691,stim,lumen,0
subject6,2021-01-15 11:16:38,4,99,1842.868,1859.868,stim,lumen,0
subject6,2021-01-15 11:16:38,4,100,1860.118,1877.118,stim,lumen,0
